ChunkID, Package Name, Class Type, Hard or Soft Chunk, File Size, Other Chunks
0,/Engine/EngineSky/BP_Sky_Sphere,Blueprint,Hard,18699,None
0,/Engine/EngineSky/C_Sky_Cloud_Color,CurveLinearColor,Hard,1725,None
0,/Engine/EngineSky/C_Sky_Horizon_Color,CurveLinearColor,Hard,1729,None
0,/Engine/EngineSky/C_Sky_Zenith_Color,CurveLinearColor,Hard,1808,None
0,/Engine/EngineSky/M_Sky_Panning_Clouds2,Material,Hard,5934,None
0,/Engine/EngineSky/SM_SkySphere,StaticMesh,Hard,3787,None
0,/Engine/EngineSky/T_Sky_Blue,Texture2D,Hard,1067,None
0,/Engine/EngineSky/T_Sky_Clouds_M,Texture2D,Hard,1167,None
0,/Engine/EngineSky/T_Sky_Stars,Texture2D,Hard,971,None
0,/Engine/MapTemplates/SM_Template_Map_Floor,StaticMesh,Hard,8620,None
2,/Game/Mordhau/Blueprints/Motions/BP_AttackMotion,Blueprint,Hard,2424,None
0,/swiiftCombatMod/BP_AttackMotion_swiift,Blueprint,Soft From Unassigned Package? Best Guess: /swiiftCombatMod/SKM_swiiftCombat->/swiiftCombatMod/Gamemode/GM_swiiftCombat_SKM->/swiiftCombatMod/BP_MordhauCharacter_swiift->/swiiftCombatMod/BP_AttackMotion_swiift,2529,None
0,/swiiftCombatMod/BP_FeintedMotion_swiift,Blueprint,Soft From Unassigned Package? Best Guess: /swiiftCombatMod/SKM_swiiftCombat->/swiiftCombatMod/Gamemode/GM_swiiftCombat_SKM->/swiiftCombatMod/BP_MordhauCharacter_swiift->/swiiftCombatMod/BP_FeintedMotion_swiift,1205,None
0,/swiiftCombatMod/BP_GS_swiift,Blueprint,Soft From Unassigned Package? Best Guess: /swiiftCombatMod/BP_GS_swiift,4330,None
0,/swiiftCombatMod/BP_KickMotion_swiift,Blueprint,Soft From Unassigned Package? Best Guess: /swiiftCombatMod/SKM_swiiftCombat->/swiiftCombatMod/Gamemode/GM_swiiftCombat_SKM->/swiiftCombatMod/BP_MordhauCharacter_swiift->/swiiftCombatMod/BP_KickMotion_swiift,1201,None
0,/swiiftCombatMod/BP_KickWeapon_swiift,Blueprint,Soft From Unassigned Package? Best Guess: /swiiftCombatMod/SKM_swiiftCombat->/swiiftCombatMod/Gamemode/GM_swiiftCombat_SKM->/swiiftCombatMod/BP_MordhauCharacter_swiift->/swiiftCombatMod/BP_KickWeapon_swiift,3540,None
0,/swiiftCombatMod/BP_MordhauCharacter_swiift,Blueprint,Soft From Unassigned Package? Best Guess: /swiiftCombatMod/SKM_swiiftCombat->/swiiftCombatMod/Gamemode/GM_swiiftCombat_SKM->/swiiftCombatMod/BP_MordhauCharacter_swiift,19887,None
0,/swiiftCombatMod/BP_ParryMotion_swiift,Blueprint,Soft From Unassigned Package? Best Guess: /swiiftCombatMod/SKM_swiiftCombat->/swiiftCombatMod/Gamemode/GM_swiiftCombat_SKM->/swiiftCombatMod/BP_MordhauCharacter_swiift->/swiiftCombatMod/BP_ParryMotion_swiift,1329,None
0,/swiiftCombatMod/FFA_swiiftCombat,World,Soft From Unassigned Package? Best Guess: /swiiftCombatMod/SKM_swiiftCombat->/swiiftCombatMod/swiiftCombat->/swiiftCombatMod/FFA_swiiftCombat,13897,None
0,/swiiftCombatMod/Gamemode/GM_swiiftCombat_DM,Blueprint,Soft From Unassigned Package? Best Guess: /swiiftCombatMod/SKM_swiiftCombat->/swiiftCombatMod/swiiftCombat->/swiiftCombatMod/FFA_swiiftCombat->/swiiftCombatMod/Gamemode/GM_swiiftCombat_DM,7741,None
0,/swiiftCombatMod/Gamemode/GM_swiiftCombat_SKM,Blueprint,Soft From Unassigned Package? Best Guess: /swiiftCombatMod/FFA_swiiftCombat->/swiiftCombatMod/swiiftCombat->/swiiftCombatMod/Gamemode/GM_swiiftCombat_SKM,4940,None
0,/swiiftCombatMod/Gamemode/GS_swiiftCombat_DM,Blueprint,Soft From Unassigned Package? Best Guess: /swiiftCombatMod/SKM_swiiftCombat->/swiiftCombatMod/swiiftCombat->/swiiftCombatMod/FFA_swiiftCombat->/swiiftCombatMod/Gamemode/GM_swiiftCombat_DM->/swiiftCombatMod/Gamemode/GS_swiiftCombat_DM,5469,None
0,/swiiftCombatMod/Gamemode/GS_swiiftCombat_SKM,Blueprint,Soft From Unassigned Package? Best Guess: /swiiftCombatMod/FFA_swiiftCombat->/swiiftCombatMod/swiiftCombat->/swiiftCombatMod/Gamemode/GM_swiiftCombat_SKM->/swiiftCombatMod/Gamemode/GS_swiiftCombat_SKM,6575,None
0,/swiiftCombatMod/Materials/M_Dev_Blue,MaterialInstanceConstant,Soft From Unassigned Package? Best Guess: /swiiftCombatMod/FFA_swiiftCombat->/swiiftCombatMod/swiiftCombat->/swiiftCombatMod/SKM_swiiftCombat->/swiiftCombatMod/Materials/M_Dev_Blue,2733,None
0,/swiiftCombatMod/Materials/M_Dev_Grey,MaterialInstanceConstant,Soft From Unassigned Package? Best Guess: /swiiftCombatMod/SKM_swiiftCombat->/swiiftCombatMod/swiiftCombat->/swiiftCombatMod/Materials/M_Dev_Grey,2733,None
0,/swiiftCombatMod/Materials/M_Dev_Orange,MaterialInstanceConstant,Soft From Unassigned Package? Best Guess: /swiiftCombatMod/FFA_swiiftCombat->/swiiftCombatMod/swiiftCombat->/swiiftCombatMod/SKM_swiiftCombat->/swiiftCombatMod/Materials/M_Dev_Orange,2737,None
0,/swiiftCombatMod/Materials/M_Grid_swiift,Material,Soft From Unassigned Package? Best Guess: /swiiftCombatMod/SKM_swiiftCombat->/swiiftCombatMod/Materials/M_Dev_Orange->/swiiftCombatMod/Materials/M_Grid_swiift,3766,None
0,/swiiftCombatMod/Materials/texture_02,Texture2D,Soft From Unassigned Package? Best Guess: /swiiftCombatMod/FFA_swiiftCombat->/swiiftCombatMod/swiiftCombat->/swiiftCombatMod/Materials/M_Dev_Grey->/swiiftCombatMod/Materials/texture_02,850,None
0,/swiiftCombatMod/SKM_swiiftCombat,World,Soft From Unassigned Package? Best Guess: /swiiftCombatMod/FFA_swiiftCombat->/swiiftCombatMod/swiiftCombat->/swiiftCombatMod/SKM_swiiftCombat,16512,None
0,/swiiftCombatMod/SKM_swiiftCombat_BuiltData,MapBuildDataRegistry,Soft From Unassigned Package? Best Guess: /swiiftCombatMod/FFA_swiiftCombat->/swiiftCombatMod/swiiftCombat->/swiiftCombatMod/SKM_swiiftCombat->/swiiftCombatMod/SKM_swiiftCombat_BuiltData,808,None
0,/swiiftCombatMod/swiiftCombat,World,Soft From Unassigned Package? Best Guess: /swiiftCombatMod/SKM_swiiftCombat->/swiiftCombatMod/swiiftCombat,654552,None
0,/swiiftCombatMod/swiiftCombat_BuiltData,MapBuildDataRegistry,Soft From Unassigned Package? Best Guess: /swiiftCombatMod/SKM_swiiftCombat->/swiiftCombatMod/swiiftCombat->/swiiftCombatMod/swiiftCombat_BuiltData,1415,None
